Cellline	Drug A	Drug B	Barbara	Åsmund	Evelina	Gold Standard	Comment	HSA	Bliss	Loewe	Loewe capped	Strong (visual)	Strong (Bliss)	Strong		Threshold Bliss/HSA	CV Åsmund	Example			Barbara	Åsmund	Evelina	Gold standard	Bliss-call	HSA-call
SF295	AK	D4	Synergy?	-	Synergy?			-0.07917432476	-0.1067085087	7.43722E+30	7.43722E+30	0	1	FALSE							1	0	1	0	0	0
A498	D4	SF	-	Synergy?	Synergy?			-0.1022990958	-0.106692151	6064868.554	6064868.554	0	1	FALSE							0	1	1	0	0	0
DU145	CT	JN		-				-0.07800853474	-0.1062803627	37807.75424	37807.75424	0	1	FALSE							0	0	0	0	0	0
DU145	PI	ST		-				-0.1047249416	-0.1056713342	6.009353804	6.009353804	0	1	FALSE							0	0	0	0	0	0
Colo205	5Z	D1	-	-				-0.108096	-0.105240287	2.672849455	2.672849455	0	1	FALSE							0	0	0	0	0	0
SW620	PI	JN	Synergy	Synergy	Synergy	Synergy		-0.1334211742	-0.1048581455	1.608672753	1.608672753	1	1	TRUE							1	1	1	1	0	1
A498	SF	G2	Synergy?	Synergy?				-0.09380303484	-0.1046680049	1.802220652	1.802220652	0	1	FALSE							1	1	0	0	0	0
Colo205	AK	P5	Synergy?	-				-0.08672703041	-0.104490364	1.4009E+39	1.4009E+39	0	1	FALSE							1	0	0	0	0	0
A498	AK	RU	Synergy?	Synergy?	Synergy?			-0.09217982924	-0.1044599575	5.25477E+73	5.25477E+73	0	1	FALSE							1	1	1	0	0	0
SF295	D1	G4		-				-0.04709893424	-0.1042801954	166804701497	166804701497	0	1	FALSE							0	0	0	0	0	0
SF295	BI	G4		-				-0.02256011031	-0.1040888616	536258.049	536258.049	0	1	FALSE							0	0	0	0	0	0
MDA-MB-468	PK	ST		-				-0.0995483161	-0.103709499	1.464191071	1.464191071	0	1	FALSE							0	0	0	0	0	0
SF295	PI	ST		-				-0.09235045892	-0.1026610667	3.046674414	3.046674414	0	1	FALSE							0	0	0	0	0	0
A498	BI	D1	-	Nothing				-0.02671908688	-0.102324068	NA	0	0	1	FALSE							0	0	0	0	0	0
DU145	BI	G2		-				-0.06770788858	-0.1020426222	NA	0	0	1	FALSE							0	0	0	0	0	0
A498	JN	P5	Synergy?	Synergy?	Synergy?			-0.1280449306	-0.1019848964	6.887542365	6.887542365	0	1	FALSE							1	1	1	0	0	1
UACC62	SF	G4		-				-0.06748821356	-0.1018586807	698.043996	698.043996	0	1	FALSE							0	0	0	0	0	0
A498	JN	SF	-	-				-0.08811190114	-0.1017017488	20.32446143	20.32446143	0	1	FALSE							0	0	0	0	0	0
A498	PK	G2	-	Synergy?				-0.1037899323	-0.1011180124	1.465523848	1.465523848	0	1	FALSE		low doses					0	1	0	0	0	0
SF295	BI	G2		-				-0.01985788151	-0.100498788	482127.6694	482127.6694	0	1	FALSE							0	0	0	0	0	0
UACC62	D1	G2		-				-0.05221335098	-0.1003837618	3.84945444	3.84945444	0	1	FALSE							0	0	0	0	0	0
A498	BI	JN	-	-				-0.04356957441	-0.09993825597	5998.889902	5998.889902	0	1	FALSE							0	0	0	0	0	0
AGS	BI	PI	Synergy	-	Synergy?			-0.1170030411	-0.09981373004	0.4364890833	0.4364890833	0	1	FALSE							1	0	1	0	0	1
UACC62	AK	G2		-				-0.06826052791	-0.09952507896	9.09007E+197	9.09007E+197	0	1	FALSE							0	0	0	0	0	0
AGS	JN	D1	-	-	Synergy?			-0.1252504293	-0.0994529365	1.480020114	1.480020114	0	1	FALSE							0	0	1	0	0	1
DU145	PD	PI	Synergy?	Synergy	Synergy			-0.1659599094	-0.09857337082	27.09278096	27.09278096	0	1	FALSE							1	1	1	0	0	1
Colo205	G2	P5	Synergy?	Synergy?	Synergy?			-0.143032344	-0.09788038883	1.344231551	1.344231551	0	1	FALSE							1	1	1	0	0	1
UACC62	AK	60		-				-0.06779571104	-0.09779407853	6.659E+22	6.659E+22	0	1	FALSE							0	0	0	0	0	0
MDA-MB-468	CT	P5		-	Synergy?			-0.08008864014	-0.09772597512	0.7787052424	0.7787052424	0	1	FALSE							0	0	1	0	0	0
UACC62	PI	ST		-				-0.09045904979	-0.09617216927	2.438047554	2.438047554	0	1	FALSE							0	0	0	0	0	0
SF295	AK	G4		-				-0.0701207789	-0.09612027732	2.06001E+63	2.06001E+63	0	1	FALSE							0	0	0	0	0	0
SF295	JN	ST		-				-0.06605515574	-0.09605053003	1.930518315	1.930518315	0	1	FALSE							0	0	0	0	0	0
UACC62	D1	ST		-				-0.04305842382	-0.09578316986	3.115585258	3.115585258	0	1	FALSE							0	0	0	0	0	0
SW620	D1	60		-				-0.0714892845	-0.09555708729	NA	0	0	1	FALSE							0	0	0	0	0	0
MDA-MB-468	CT	SF	Synergy	Synergy	Synergy	Synergy		-0.09640001784	-0.09530652876	1.955172797	1.955172797	1	1	TRUE							1	1	1	1	0	0
Colo205	D1	SF	-	Synergy?!	Synergy?			-0.07328063804	-0.09506626108	35.66072051	35.66072051	0	1	FALSE							0	0	1	0	0	0
UACC62	5Z	SF		-				-0.07884783563	-0.09499472435	1.034848539	1.034848539	0	1	FALSE							0	0	0	0	0	0
SW620	BI	G2		-				-0.06795318782	-0.09486616575	280331120.4	280331120.4	0	1	FALSE							0	0	0	0	0	0
A498	AK	P5	Synergy?	Synergy?	Synergy?			-0.06974349181	-0.09433358134	4.97473E+190	4.97473E+190	0	1	FALSE							1	1	1	0	0	0
DU145	5Z	SF	Synergy?	-	Synergy?			-0.1089256188	-0.09379996774	1.44049897	1.44049897	0	1	FALSE							1	0	1	0	0	0
DU145	PI	JN		-				-0.08277233908	-0.09332955022	839.888415	839.888415	0	1	FALSE							0	0	0	0	0	0
MDA-MB-468	D4	SF	Synergy	Synergy	Synergy	Synergy		-0.1005762229	-0.0932170842	1.020514887	1.020514887	1	1	TRUE							1	1	1	1	0	0
A498	AK	D4	Synergy?	Synergy	Synergy			-0.08084200647	-0.09319293486	1.19698E+68	1.19698E+68	0	1	FALSE							1	1	1	0	0	0
A498	5Z	D1	-	-				-0.06488577107	-0.09306607519	NA	0	0	1	FALSE			Synergy!		no effect alone, strong effect together		0	0	0	0	0	0
AGS	PK	G2	Synergy?	Synergy?				-0.09166017328	-0.09304955434	1.027393231	1.027393231	0	1	FALSE							1	1	0	0	0	0
A498	SF	ST	-	-				-0.06882538449	-0.09291635643	40.6554001	40.6554001	0	1	FALSE							0	0	0	0	0	0
Colo205	AK	G2	-	-				-0.08230916479	-0.09262021867	1.41384E+28	1.41384E+28	0	1	FALSE							0	0	0	0	0	0
DU145	AK	PI		-				-0.07073385756	-0.09229299333	314.7542524	314.7542524	0	1	FALSE							0	0	0	0	0	0
A498	BI	G4	-	-				-0.02078433259	-0.09229037408	361.4913026	361.4913026	0	1	FALSE							0	0	0	0	0	0
MDA-MB-468	JN	ST		Synergy?	Synergy?			-0.1012912757	-0.09181321723	0.9317807398	0.9317807398	0	1	FALSE							0	1	1	0	0	0
UACC62	D1	60		-				-0.04812111326	-0.09175550784	12.21791742	12.21791742	0	1	FALSE							0	0	0	0	0	0
A498	G2	P5	Synergy?	Synergy?	Synergy?			-0.115056057	-0.09160727659	2.038227611	2.038227611	0	1	FALSE							1	1	1	0	0	1
SF295	ST	G2		-				-0.1040551212	-0.09128297582	2.07217392	2.07217392	0	1	FALSE							0	0	0	0	0	0
UACC62	AK	ST		-				-0.06718637494	-0.09124315619	NA	0	0	1	FALSE							0	0	0	0	0	0
A498	PI	ST	-	-				-0.05423763738	-0.09123746637	2.573478458	2.573478458	0	1	FALSE							0	0	0	0	0	0
SW620	AK	PI	Synergy?	Synergy	Synergy?			-0.09574033774	-0.09100959661	1.098799144	1.098799144	0	1	FALSE							1	1	1	0	0	0
Colo205	JN	ST		-				-0.01753597686	-0.09086231246	3.960952848	3.960952848	0	1	FALSE							0	0	0	0	0	0
Colo205	AK	D1	Synergy?	Synergy?	Synergy?			-0.06717065039	-0.09032599684	99182861.43	99182861.43	0	1	FALSE							1	1	1	0	0	0
SF295	D1	60		Nothing				-0.02940181679	-0.09005240464	320628.5134	320628.5134	0	1	FALSE							0	0	0	0	0	0
Colo205	JN	D1		-				-0.01966758157	-0.08984451621	5291303556	5291303556	0	1	FALSE							0	0	0	0	0	0
SW620	AK	D1		-				-0.05911959263	-0.08936034807	17910903.41	17910903.41	0	1	FALSE							0	0	0	0	0	0
DU145	D4	SF		Synergy!?	Synergy?			-0.1039393888	-0.08906915267	2110602236	2110602236	0	1	FALSE							0	0	1	0	0	0
Colo205	PI	JN		Nothing				-0.004337511438	-0.088657316	1.52559E+65	1.52559E+65	0	1	FALSE							0	0	0	0	0	0
A498	JN	D1	-	-				-0.05490226509	-0.08836878393	NA	0	0	1	FALSE							0	0	0	0	0	0
MDA-MB-468	PI	60		-				-0.07684613043	-0.08784845281	8.53295743	8.53295743	0	1	FALSE							0	0	0	0	0	0
DU145	AK	CT		-				-0.05748744742	-0.08739507936	34.90276878	34.90276878	0	1	FALSE							0	0	0	0	0	0
SW620	PI	G2	Synergy	Synergy	Synergy	Synergy		-0.1649788017	-0.08672467111	1.089969638	1.089969638	1	1	TRUE							1	1	1	1	0	1
DU145	D1	SF		Synergy?	Synergy?			-0.09185516726	-0.08634908604	29.00697729	29.00697729	0	1	FALSE							0	1	1	0	0	0
Colo205	PD	G2	Synergy?	Synergy?	Synergy?			-0.1465309561	-0.08596537835	1.279747768	1.279747768	0	1	FALSE							1	1	1	0	0	1
DU145	5Z	SB	Synergy?	-	Synergy?			-0.1296396187	-0.08550898282	2.328708377	2.328708377	0	1	FALSE							1	0	1	0	0	1
DU145	PI	G2	Synergy?	Synergy?	Synergy?			-0.150009279	-0.08549235196	1.008200078	1.008200078	0	1	FALSE							1	1	1	0	0	1
MDA-MB-468	D1	60		-				-0.0934412323	-0.0852880338	0.4897710967	0.4897710967	0	1	FALSE							0	0	0	0	0	0
Colo205	AK	D4	Synergy?	Synergy?				-0.07039821868	-0.08523286512	96800070.52	96800070.52	0	1	FALSE							1	1	0	0	0	0
DU145	5Z	D1		-				-0.1135399028	-0.08508176585	3.871672977	3.871672977	0	1	FALSE							0	0	0	0	0	1
MDA-MB-468	JN	P5		-				-0.09882049494	-0.08491431719	0.8897271362	0.8897271362	0	1	FALSE							0	0	0	0	0	0
DU145	60	SF		Synergy?	Synergy?			-0.0927577257	-0.08360104767	6.20723E+22	6.20723E+22	0	1	FALSE							0	1	1	0	0	0
AGS	BI	P5	-	-				-0.0753449535	-0.08310109993	1.185952022	1.185952022	0	1	FALSE							0	0	0	0	0	0
A498	G4	P5	-	-				-0.05983347626	-0.08253145216	173.4759431	173.4759431	0	1	FALSE							0	0	0	0	0	0
DU145	AK	ST		-				-0.05484145996	-0.08242302865	2,76E+20	0	0	1	FALSE							0	0	0	0	0	0
A498	PD	D1	-	Synergy?				-0.05597314828	-0.08212303966	NA	0	0	1	FALSE							0	1	0	0	0	0
SF295	BI	ST		-				0.004156408359	-0.0819941333	5357544.173	5357544.173	0	1	FALSE							0	0	0	0	0	0
MDA-MB-468	60	P5		-				-0.05839954059	-0.08184823797	1.278284199	1.278284199	0	1	FALSE							0	0	0	0	0	0
MDA-MB-468	AK	PD	Synergy	Synergy	Synergy	Synergy		-0.1399934658	-0.08119108197	3.784866794	3.784866794	1	1	TRUE							1	1	1	1	0	1
DU145	JN	60		-				-0.03896914255	-0.0803432885	3.86061E+22	3.86061E+22	0	1	FALSE							0	0	0	0	0	0
A498	PD	ST	-	-				-0.08829371307	-0.08024228668	1.529228043	1.529228043	0	1	FALSE							0	0	0	0	0	0
SF295	PI	D4	Synergy?	Synergy?	Synergy?			-0.06557335924	-0.07993637696	2.5607E+18	2.5607E+18	0	1	FALSE							1	1	1	0	0	0
DU145	PK	G2		Synergy?				-0.07725325905	-0.07969741651	2.193990232	2.193990232	0	1	FALSE							0	1	0	0	0	0
MDA-MB-468	D1	G4	Synergy	Synergy?	Synergy?			-0.1076286788	-0.07949157579	0.304913492	0.304913492	0	1	FALSE							1	1	1	0	0	0
SW620	D1	ST		-				-0.04685062622	-0.07913358081	4.43948442	4.43948442	0	1	FALSE							0	0	0	0	0	0
SW620	D1	D4		-				-0.07004494651	-0.07907888391	146.2289561	146.2289561	0	1	FALSE							0	0	0	0	0	0
AGS	PD	G2	-	Synergy?	Synergy?			-0.1243459604	-0.07904231016	0.3547499327	0.3547499327	0	1	FALSE							0	1	1	0	0	1
SF295	5Z	PI	Synergy?	Synergy?	Synergy?			-0.1095989092	-0.07882224717	2.995983799	2.995983799	0	1	FALSE							1	1	1	0	0	0
SW620	SF	ST		Synergy				-0.08132145163	-0.07863234595	13.41314024	13.41314024	0	1	FALSE							0	1	0	0	0	0
A498	PD	G4	-	-				-0.07034686936	-0.07853515318	1.087635652	1.087635652	0	1	FALSE							0	0	0	0	0	0
SF295	AK	RU		-				-0.0520871367	-0.07823550887	2.09632E+37	2.09632E+37	0	1	FALSE							0	0	0	0	0	0
Colo205	60	SF	-	-				-0.06024291015	-0.07816846259	41993324642	41993324642	0	1	FALSE							0	0	0	0	0	0
A498	AK	F4	-	Synergy?	Synergy?			-0.06440564181	-0.0775092067	2.5208E+52	2.5208E+52	0	1	FALSE							0	1	1	0	0	0
UACC62	JN	ST		-				-0.05576857772	-0.07746602163	3.572497341	3.572497341	0	1	FALSE							0	0	0	0	0	0
A498	AK	ST	-	-				-0.05516069697	-0.07737023218	8.18273E+203	8.18273E+203	0	1	FALSE							0	0	0	0	0	0
A498	BI	G2	-	-				-0.03332656154	-0.07712842056	43344.13162	43344.13162	0	1	FALSE							0	0	0	0	0	0
UACC62	AK	G4		-				-0.03608881774	-0.07711237746	1.61208E+90	1.61208E+90	0	1	FALSE							0	0	0	0	0	0
SW620	JN	P5	Synergy?	Synergy?	Synergy?			-0.1136576057	-0.07702040259	5.504480902	5.504480902	0	1	FALSE							1	1	1	0	0	1
AGS	BI	JN	-	-				-0.08768488509	-0.07699129707	1.21749483	1.21749483	0	1	FALSE							0	0	0	0	0	0
UACC62	5Z	PI	Synergy?	Synergy?				-0.07626076199	-0.07678495087	1.419635314	1.419635314	0	1	FALSE							1	1	0	0	0	0
UACC62	5Z	SB		Synergy?				-0.08110038073	-0.07669468848	1.122042594	1.122042594	0	1	FALSE							0	1	0	0	0	0
MDA-MB-468	60	ST		-				-0.06381558423	-0.07652217626	1.067172707	1.067172707	0	1	FALSE							0	0	0	0	0	0
A498	D1	60	-	Nothing				-0.0427446019	-0.0760250729	NA	0	0	1	FALSE							0	0	0	0	0	0
DU145	5Z	F4		-				-0.1123753202	-0.07568194265	2.645369926	2.645369926	0	1	FALSE							0	0	0	0	0	1
AGS	5Z	F4	Synergy	Synergy?	Synergy			-0.1463580719	-0.07533792589	0.365696408	0.365696408	0	1	FALSE							1	1	1	0	0	1
UACC62	5Z	JN		-				-0.07334911811	-0.07495117929	2.208281383	2.208281383	0	1	FALSE							0	0	0	0	0	0
SW620	D1	G2		Synergy?				-0.0618592184	-0.07429705517	9.205687719	9.205687719	0	1	FALSE							0	1	0	0	0	0
A498	AK	JN	-	-				-0.05906934751	-0.07409253007	2.06384E+168	2.06384E+168	0	1	FALSE							0	0	0	0	0	0
Colo205	PI	P5		-				-0.03751184854	-0.07405615314	2.783717182	2.783717182	0	1	FALSE							0	0	0	0	0	0
DU145	5Z	G4		-				-0.06999518266	-0.07380851375	2.590281366	2.590281366	0	1	FALSE							0	0	0	0	0	0
DU145	5Z	AK		-				-0.06454530503	-0.07376996051	1.13338E+20	1.13338E+20	0	1	FALSE							0	0	0	0	0	0
AGS	5Z	SB	Synergy?	Synergy	Synergy			-0.1223581996	-0.0736392157	0.3320278283	0.3320278283	0	1	FALSE							1	1	1	0	0	1
DU145	CT	P5		-				-0.06785705658	-0.07310128734	3.398403213	3.398403213	0	1	FALSE							0	0	0	0	0	0
DU145	PI	SF		Synergy?	Synergy?			-0.09007452904	-0.07291520343	997.9499458	997.9499458	0	1	FALSE							0	1	1	0	0	0
DU145	AK	G2		-				-0.05643546829	-0.07285324262	15052113136430	15052113136430	0	1	FALSE							0	0	0	0	0	0
SW620	G2	P5		Synergy?				-0.09785715691	-0.07274436644	3.218682688	3.218682688	0	1	FALSE							0	1	0	0	0	0
MDA-MB-468	PI	SF	Synergy	Synergy	Synergy	Synergy		-0.05327035834	-0.07267561325	35191.59804	35191.59804	1	1	TRUE							1	1	1	1	0	0
DU145	5Z	JN		-				-0.05738301388	-0.07247875333	9.926689803	9.926689803	0	1	FALSE							0	0	0	0	0	0
SF295	PK	G2		-				-0.06714433819	-0.07183904547	1.889457163	1.889457163	0	1	FALSE							0	0	0	0	0	0
UACC62	60	ST		-				-0.05352602507	-0.07172207241	3.364689981	3.364689981	0	1	FALSE							0	0	0	0	0	0
AGS	60	ST	-	-				-0.08255506994	-0.07144433624	1.300478977	1.300478977	0	1	FALSE							0	0	0	0	0	0
DU145	AK	60		-				-0.05209980097	-0.07139336624	2,05E+20	0	0	1	FALSE							0	0	0	0	0	0
UACC62	BI	JN		-				-0.0211347329	-0.07108139589	1.67507E+23	1.67507E+23	0	1	FALSE							0	0	0	0	0	0
DU145	5Z	60		-				-0.08617297576	-0.07097204962	4.688739261	4.688739261	0	1	FALSE							0	0	0	0	0	0
SF295	5Z	ST		-				-0.09278819339	-0.07075434953	2.585666957	2.585666957	0	1	FALSE							0	0	0	0	0	0
AGS	5Z	SF	Synergy	Synergy	Synergy	Synergy		-0.1539688175	-0.07021221466	0.2651842693	0.2651842693	1	1	TRUE							1	1	1	1	0	1
DU145	5Z	D4		-				-0.09332221426	-0.07012818724	2.039882465	2.039882465	0	1	FALSE							0	0	0	0	0	0
SW620	PI	P5		Synergy?				-0.08784713398	-0.06996047959	3.871659977	3.871659977	0	1	FALSE							0	1	0	0	0	0
MDA-MB-468	PD	JN	Synergy	Synergy	Synergy	Synergy		-0.1324402793	-0.06965726719	0.7417345305	0.7417345305	1	1	TRUE							1	1	1	1	0	1
Colo205	CT	P5	-	-				-0.07216209973	-0.06959519424	2.424235351	2.424235351	0	1	FALSE							0	0	0	0	0	0
A498	BI	ST	-	-				-0.01559993094	-0.06953119167	20162.05885	20162.05885	0	1	FALSE							0	0	0	0	0	0
Colo205	PD	P5		Synergy?	Synergy?			-0.1074921402	-0.06923363	1.852646125	1.852646125	0	1	FALSE							0	1	1	0	0	0
UACC62	RU	SF		-				-0.01669513663	-0.06908580483	NA	0	0	1	FALSE							0	0	0	0	0	0
Colo205	AK	RU	-	-				-0.0540188578	-0.06896148231	8393.919722	8393.919722	0	1	FALSE							0	0	0	0	0	0
UACC62	BI	ST		-				-0.03017776243	-0.06860729371	2.02422E+70	2.02422E+70	0	1	FALSE							0	0	0	0	0	0
UACC62	AK	JN		-				-0.03974182535	-0.06852817391	2.1592E+70	2.1592E+70	0	1	FALSE							0	0	0	0	0	0
UACC62	SB	ST		-				-0.05731919634	-0.0684587242	2.977558747	2.977558747	0	1	FALSE							0	0	0	0	0	0
SF295	BI	D4		Nothing				0.0196652905	-0.06834111846	203615545471	203615545471	0	1	FALSE							0	0	0	0	0	0
A498	5Z	SB	Synergy	Synergy?	Synergy			-0.1012713567	-0.0682648608	1.257128809	1.257128809	0	1	FALSE			Gold standard vs Bliss				1	1	1	0	0	0
DU145	SF	ST		Synergy?				-0.05617246055	-0.06761866638	382917.7027	382917.7027	0	1	FALSE							0	1	0	0	0	0
UACC62	CT	P5		-				-0.08262595829	-0.06760285259	5.24572341	5.24572341	0	1	FALSE							0	0	0	0	0	0
UACC62	PI	60		-				-0.04869858175	-0.06756505924	2623642282702	2623642282702	0	1	FALSE							0	0	0	0	0	0
UACC62	PD	PI	Synergy?	Synergy?	Synergy?			-0.08222495009	-0.06747760966	2.561719971	2.561719971	0	1	FALSE							1	1	1	0	0	0
AGS	AK	G4	-	-				-0.06942536225	-0.0673483287	4.511474749	4.511474749	0	1	FALSE							0	0	0	0	0	0
Colo205	AK	PD	-	-				-0.06182344062	-0.06726991988	4.16834E+29	4.16834E+29	0	1	FALSE							0	0	0	0	0	0
Colo205	PK	G2		-				-0.06374957177	-0.06726102628	1.717621525	1.717621525	0	1	FALSE							0	0	0	0	0	0
SW620	PI	SF	Synergy?	Synergy?	Synergy?			-0.1152695782	-0.06705370735	5.783284076	5.783284076	0	1	FALSE							1	1	1	0	0	1
DU145	SF	G4		-				-0.06938220685	-0.06700857267	318.6213479	318.6213479	0	1	FALSE							0	0	0	0	0	0
AGS	D1	P5	-	-				-0.07763759076	-0.06689707258	4.495776629	4.495776629	0	1	FALSE							0	0	0	0	0	0
Colo205	D4	SF	-	-				-0.0498456441	-0.06669527827	7058.4988	7058.4988	0	1	FALSE							0	0	0	0	0	0
MDA-MB-468	AK	JN	Synergy	Synergy?	Synergy			-0.09667909066	-0.0666292188	0.7940094445	0.7940094445	0	1	FALSE							1	1	1	0	0	0
AGS	AK	G2	-	-				-0.07894150989	-0.06661693078	1.152031088	1.152031088	0	1	FALSE							0	0	0	0	0	0
DU145	PD	P5	Synergy?	Synergy?	Synergy?			-0.1120543269	-0.06649636791	23.1274292	23.1274292	0	1	FALSE							1	1	1	0	0	1
MDA-MB-468	SB	SF	Synergy	Synergy	Synergy	Synergy		-0.113764001	-0.06646356942	1.066039541	1.066039541	1	1	TRUE							1	1	1	1	0	1
AGS	AK	D4	Synergy?	Synergy	Synergy?			-0.09577254506	-0.06643266737	3.081755531	3.081755531	0	1	FALSE							1	1	1	0	0	0
MDA-MB-468	JN	D4		-				-0.1016475338	-0.06600608119	0.6354988551	0.6354988551	0	1	FALSE							0	0	0	0	0	0
SW620	60	ST		-				-0.05096542061	-0.06563905679	NA	0	0	1	FALSE							0	0	0	0	0	0
Colo205	D1	60	-	Nothing				-0.06227383016	-0.0655717077	9.016844514	9.016844514	0	1	FALSE							0	0	0	0	0	0
DU145	AK	RU		-				-0.04930867423	-0.06553927218	449.5141242	449.5141242	0	1	FALSE							0	0	0	0	0	0
AGS	5Z	D4	Synergy	Synergy?	Synergy			-0.1127029141	-0.06551886927	0.6130593394	0.6130593394	0	1	FALSE							1	1	1	0	0	1
Colo205	BI	G2	-	-				-0.06742991836	-0.06528745217	1.002203247	1.002203247	0	1	FALSE							0	0	0	0	0	0
SW620	JN	ST		-				-0.07250259379	-0.06520181624	5.087451375	5.087451375	0	1	FALSE							0	0	0	0	0	0
UACC62	PD	ST		Synergy?				-0.08732574173	-0.06484884329	1.417725135	1.417725135	0	1	FALSE							0	1	0	0	0	0
SW620	AK	ST		-				-0.05292887609	-0.0648185869	113347.8088	113347.8088	0	1	FALSE							0	0	0	0	0	0
SW620	ST	G2		-				-0.08220911008	-0.06450636589	4.893897379	4.893897379	0	1	FALSE							0	0	0	0	0	0
Colo205	JN	G4		-				-0.01458189144	-0.06446017775	192.4533666	192.4533666	0	1	FALSE							0	0	0	0	0	0
A498	PI	G2	-	-				-0.03480588692	-0.06438753282	2.240502477	2.240502477	0	1	FALSE							0	0	0	0	0	0
SF295	ST	P5		-				-0.05582121005	-0.0639354527	5.613696372	5.613696372	0	1	FALSE							0	0	0	0	0	0
SF295	BI	SB		-				0.01836818592	-0.06356164992	19929.35087	19929.35087	0	1	FALSE							0	0	0	0	0	0
SF295	JN	G2		-				-0.0525669165	-0.06342967893	8.168976177	8.168976177	0	1	FALSE							0	0	0	0	0	0
Colo205	AK	ST	-	-				-0.04786832615	-0.0630797732	2.65822E+79	2.65822E+79	0	1	FALSE							0	0	0	0	0	0
MDA-MB-468	AK	60		Synergy?	Synergy?			-0.07891711722	-0.06288941179	0.5675949598	0.5675949598	0	1	FALSE							0	1	1	0	0	0
A498	BI	F4	-	Nothing				-0.0042591926	-0.06280928917	266.7048683	266.7048683	0	1	FALSE							0	0	0	0	0	0
DU145	BI	ST		-				-0.02134610622	-0.06260512249	NA	0	0	1	FALSE							0	0	0	0	0	0
DU145	JN	D4		-				-0.02968966342	-0.06234956886	3.94487E+22	3.94487E+22	0	1	FALSE							0	0	0	0	0	0
A498	BI	SB	-	-				-0.0005211767165	-0.06226008471	240.3678369	240.3678369	0	1	FALSE							0	0	0	0	0	0
DU145	BI	CT		Nothing				-0.02170344024	-0.06206632191	NA	0	0	1	FALSE							0	0	0	0	0	0
Colo205	PD	ST		-				-0.06632913061	-0.06190996614	3.382892458	3.382892458	0	1	FALSE							0	0	0	0	0	0
A498	5Z	G4	-	-				-0.0514447005	-0.06174700743	1.742076053	1.742076053	0	1	FALSE			Loewe cap	3			0	0	0	0	0	0
MDA-MB-468	CT	JN		-				-0.09093044089	-0.06098701574	0.4515225957	0.4515225957	0	1	FALSE							0	0	0	0	0	0
DU145	D1	G4		-				-0.05999005363	-0.06065405373	2.131229671	2.131229671	0	1	FALSE							0	0	0	0	0	0
Colo205	PI	ST		-				-0.02429171677	-0.06034989162	3.647523469	3.647523469	0	1	FALSE							0	0	0	0	0	0
UACC62	PD	SF		-				-0.04991995869	-0.06026972007	7.119449361	7.119449361	0	1	FALSE							0	0	0	0	0	0
A498	CT	PI	-	-	Synergy?			-0.02966263992	-0.05964981118	12710.69546	12710.69546	0	1	FALSE							0	0	1	0	0	0
AGS	PD	ST	-	Synergy?	Synergy?			-0.106826701	-0.05961510739	0.7892216139	0.7892216139	0	1	FALSE							0	1	1	0	0	0
SW620	PD	G2		Synergy?				-0.1237017394	-0.05905032399	0.306677583	0.306677583	0	1	FALSE							0	1	0	0	0	1
MDA-MB-468	BI	60		Nothing				0.01915694145	-0.05891778592	9.29142846	9.29142846	0	1	FALSE							0	0	0	0	0	0
SW620	D1	G4		-				-0.04971736922	-0.05887038509	9.549548072	9.549548072	0	1	FALSE							0	0	0	0	0	0
Colo205	SB	ST		-	Synergy?			-0.07332999721	-0.05875329061	2.827614114	2.827614114	0	1	FALSE							0	0	1	0	0	0
DU145	5Z	PI	Synergy?	Synergy?				-0.113523367	-0.05868779135	1.537153884	1.537153884	0	1	FALSE							1	1	0	0	0	1
SW620	AK	60		-				-0.06359376727	-0.05831969843	NA	0	0	1	FALSE							0	0	0	0	0	0
UACC62	ST	G4		-				-0.0255470285	-0.05809468449	3.360960579	3.360960579	0	1	FALSE							0	0	0	0	0	0
A498	CT	P5	-	-				-0.07011764963	-0.05779642031	16.81233609	16.81233609	0	1	FALSE							0	0	0	0	0	0
SW620	AK	JN		-				-0.05949673041	-0.05775337221	6217.829646	6217.829646	0	1	FALSE							0	0	0	0	0	0
A498	AK	G2	-	-				-0.04816654998	-0.05737514368	1.82799E+194	1.82799E+194	0	1	FALSE							0	0	0	0	0	0
Colo205	BI	ST	-	-				-0.04695052157	-0.05727722905	33.35121157	33.35121157	0	1	FALSE							0	0	0	0	0	0
MDA-MB-468	PI	G2		-				-0.03793510154	-0.05723111131	1.359699777	1.359699777	0	1	FALSE							0	0	0	0	0	0
Colo205	60	ST	-	-				-0.04192961439	-0.05721284719	5.211572195	5.211572195	0	1	FALSE							0	0	0	0	0	0
SW620	BI	ST		-				-0.02480912875	-0.05717736883	3.15762E+24	3.15762E+24	0	1	FALSE							0	0	0	0	0	0
SF295	AK	CT		-				-0.03152281739	-0.05708363962	4.31747E+46	4.31747E+46	0	1	FALSE							0	0	0	0	0	0
AGS	D1	G4	-	-				-0.09437271241	-0.0570472042	1.58914375	1.58914375	0	1	FALSE							0	0	0	0	0	0
MDA-MB-468	BI	D4		Nothing				0.01867138929	-0.0566522378	12.03236354	12.03236354	0	1	FALSE							0	0	0	0	0	0
SW620	CT	P5		-				-0.05547390244	-0.05636593985	25.51236423	25.51236423	0	1	FALSE							0	0	0	0	0	0
AGS	AK	RU	Synergy?	Synergy	Synergy			-0.08560718664	-0.05616822711	2.35257408	2.35257408	0	1	FALSE							1	1	1	0	0	0
